Norma,Punto_norma
Requisitos adicionales FSSC 22000,Gestión de los servicios y materiales comprados
Requisitos adicionales FSSC 22001,Etiquetado de productos y materiales impresos
Requisitos adicionales FSSC 22002,Defensa de los alimentos
Requisitos adicionales FSSC 22003,Mitigación de fraude alimentario
Requisitos adicionales FSSC 22004,Uso de logotipo
Requisitos adicionales FSSC 22005,Gestión de alérgenos
Requisitos adicionales FSSC 22006,Control medioambiental
Requisitos adicionales FSSC 22007,Formulación de productos
Requisitos adicionales FSSC 22008,Transporte y entrega
Requisitos adicionales FSSC 22009,Almacenamiento y almacén
Requisitos adicionales FSSC 22010,Control de peligros y acciones para prevenir la contaminación cruzada
Requisitos adicionales FSSC 22011,Verificación de los PPR
Requisitos adicionales FSSC 22012,Desarrollo de productos
Requisitos adicionales FSSC 22013,Estado de salud
ISO 22000:2018,4 Contexto de la organización
ISO 22000:2019,4.1 Comprensión de la organización y de su contexto
ISO 22000:2020,4.2 Comprensión de las necesidades y expectativas de las partes interesadas
ISO 22000:2021,4.3 Determinación del alcance del sistema de administración de inocuidad de los alimentos
ISO 22000:2022,4.4 Sistema de administración de inocuidad de los alimentos
ISO 22000:2023,5 Liderazgo
ISO 22000:2024,5.1 Liderazgo y compromiso
ISO 22000:2025,5.2 Política
ISO 22000:2026,5.2.1 Establecimiento de la política de la inocuidad de los alimentos
ISO 22000:2027,5.2.2 Comunicación de la política de la inocuidad de los alimentos
ISO 22000:2028,"5.3 Roles, responsabilidades y autoridades en la organización"
ISO 22000:2029,6 Planeación
ISO 22000:2030,6.1 Acciones para abordar riesgos y oportunidadeS
ISO 22000:2031,6.2 Objetivos del sistema de administración de inocuidad de los alimentos y planeados para lograrlos
ISO 22000:2032,6.3 Planeación de los cambios
ISO 22000:2033,7 Apoyo
ISO 22000:2034,7.1 Recursos
ISO 22000:2035,7.1.1 Generalidades
ISO 22000:2036,7.1.2 Personas
ISO 22000:2037,7.1.3 Infraestructura
ISO 22000:2038,7.1.4 Ambiente de trabajo
ISO 22000:2039,"7.1.6 Control de procesos, productos o servicios proporcionados externamente"
ISO 22000:2040,7.2 Competencias
ISO 22000:2041,7.3 Concientización
ISO 22000:2042,7.4 Comunicación
ISO 22000:2043,7.4.1 GeneralidadeS
ISO 22000:2044,7.4.2 Comunicación externa
ISO 22000:2045,7.4.3 Comunicación interna
ISO 22000:2046,7.5 Información documentada
ISO 22000:2047,7.5.2 Creación y actualización
ISO 22000:2048,7.5.3 Control de la información documentada
ISO 22000:2049,8 Operación
ISO 22000:2050,8.2 Programas de prerrequisitos (PPR)
ISO 22000:2051,8.3 Sistema de rastreabilidad/trazabilidad
ISO 22000:2052,8.4 Preparación y respuesta ante emergencias
ISO 22000:2053,8.4.1 Generalidades
ISO 22000:2054,8.4.2 Administración de emergencias e incidentes
ISO 22000:2055,8.5 Control de peligros
ISO 22000:2056,8.5.2 Análisis de peligros
ISO 22000:2057,8.5.3 Validación de las medidas de control y combinaciones de medidas de control
ISO 22000:2058,8.5.4 Plan de control de peligros (plan HACCP/APPCC /PPRO)
ISO 22000:2059,8.6 Actualización de la información que especifica los PPR y el plan de control de peligros
ISO 22000:2060,8.7 Control del seguimiento y la medición
ISO 22000:2061,8.8 Verificación relacionada con los PPR y el plan de control de peligros
ISO 22000:2062,8.8.1 Verificación
ISO 22000:2063,8.8.2 Análisis de los resultados de las actividades de verificación
ISO 22000:2064,8.9 Control de las no conformidades del producto y el proceso
ISO 22000:2065,8.9.1 Generalidades
ISO 22000:2066,8.9.2 Correcciones
ISO 22000:2067,8.9.3 Acciones correctivas
ISO 22000:2068,8.9.5 Retiro/recuperación
ISO 22000:2069,9 Evaluación del desempeño
ISO 22000:2070,"9.1 Seguimiento, medición, análisis y evaluación"
ISO 22000:2071,9.1.1 Generalidades
ISO 22000:2072,9.1.2 Análisis y evaluación
ISO 22000:2073,9.2 Auditoría interna
ISO 22000:2074,9.3 Revisiones directivas/gerenciales
ISO 22000:2075,9.3.1 Generalidades
ISO 22000:2076,9.3.2 Entradas de las revisiones directivas/gerenciales
ISO 22000:2077,10 Mejora
ISO 22000:2078,10.1 No conformidades y acciones correctivas
ISO 22000:2079,10.2 Mejora continua
ISO 22000:2080,10.3 Actualización del sistema de administración de la inocuidad de los alimentos
ISO/TS 22002-1:2009,4 Construcción y distribución de edificios
ISO/TS 22002-1:2010,5 Distribución de los locales y del espacio de trabajo
ISO/TS 22002-1:2011,"6 Servicios – aire, agua, energía"
ISO/TS 22002-1:2012,7 Eliminación de desechos
ISO/TS 22002-1:2013,"8 Idoneidad de los equipos, limpieza y mantenimiento"
ISO/TS 22002-1:2014,9 Gestión de los materiales comprados
ISO/TS 22002-1:2015,10 Medidas para la prevención de la contaminación cruzada
ISO/TS 22002-1:2016,11 Limpieza y sanitización
ISO/TS 22002-1:2017,12 Control de plagas
ISO/TS 22002-1:2018,13 Higiene personal e instalaciones de los empleados
ISO/TS 22002-1:2019,14 Retrabajo
ISO/TS 22002-1:2020,15 Procedimientos de retiro del producto
ISO/TS 22002-1:2021,16 Almacenamiento
ISO/TS 22002-1:2022,17 Información del producto / concientización de los consumidores
ISO/TS 22002-1:2023,"18 Defensa de los alimentos, biovigilancia y bioterorismo"
